Tag;Code_test;Separation;Position;Time;Date_Time;Date;Time2;factor_aleatorio; Second_day;satellites ; Battery_Level;Distance; Accuracy ; Clock_Offset
20844;46;NO;Levantado;13:30:17;20/03/2020 13:30;20/03/2020;13:30;20/03/20_13:30;48617380;7;4.16;25.714577;4.10E-06;2280
20844;46;NO;Levantado;14:00:17;20/03/2020 14:00;20/03/2020;14:00;20/03/20_14:00;50417130;7;4.16;14.408213;6.34E-06;2350
20844;46;NO;Levantado;14:30:17;20/03/2020 14:30;20/03/2020;14:30;20/03/20_14:30;52217310;7;4.16;27.166135;4.59E-06;2255
20844;46;NO;Levantado;15:00:17;20/03/2020 15:00;20/03/2020;15:00;20/03/20_15:00;54017105;7;4.14;12.960317;5.65E-06;2160
20844;46;NO;Levantado;15:30:17;20/03/2020 15:30;20/03/2020;15:30;20/03/20_15:30;55817290;7;4.14;16.207982;3.21E-06;2150
20844;46;NO;Levantado;16:00:17;20/03/2020 16:00;20/03/2020;16:00;20/03/20_16:00;57617080;7;4.14;7.072286;5.64E-07;2180
20844;46;NO;Levantado;16:30:17;20/03/2020 16:30;20/03/2020;16:30;20/03/20_16:30;59417280;8;4.14;11.346737;7.71E-06;2195
20844;46;NO;Levantado;17:00:17;20/03/2020 17:00;20/03/2020;17:00;20/03/20_17:00;61217065;5;4.14;7.410172;4.60E-07;2180
20844;46;NO;Levantado;17:30:17;20/03/2020 17:30;20/03/2020;17:30;20/03/20_17:30;63017250;6;4.14;5.18248;5.70E-06;2150
20844;46;NO;Levantado;18:00:17;20/03/2020 18:00;20/03/2020;18:00;20/03/20_18:00;64817060;7;4.12;6.077665;3.07E-06;2140
20844;46;NO;Levantado;18:30:17;20/03/2020 18:30;20/03/2020;18:30;20/03/20_18:30;66617250;7;4.12;3.733009;3.51E-06;2150
20844;46;NO;Levantado;19:00:17;20/03/2020 19:00;20/03/2020;19:00;20/03/20_19:00;68417060;6;4.14;4.031377;1.34E-06;2160
20844;46;NO;Levantado;19:30:17;20/03/2020 19:30;20/03/2020;19:30;20/03/20_19:30;70217260;8;4.12;1.959159;4.57E-06;2165
20844;46;NO;Levantado;20:00:17;20/03/2020 20:00;20/03/2020;20:00;20/03/20_20:00;72017055;10;4.12;5.67701;5.04E-06;2160
20844;46;NO;Levantado;20:30:17;20/03/2020 20:30;20/03/2020;20:30;20/03/20_20:30;73817240;9;4.12;14.522756;6.70E-06;2145
20844;46;NO;Levantado;21:00:17;20/03/2020 21:00;20/03/2020;21:00;20/03/20_21:00;75617045;8;4.12;8.982121;4.32E-06;2135
20844;46;NO;Levantado;21:30:17;20/03/2020 21:30;20/03/2020;21:30;20/03/20_21:30;77417235;8;4.12;13.833545;2.42E-06;2135
20844;46;NO;Levantado;22:00:17;20/03/2020 22:00;20/03/2020;22:00;20/03/20_22:00;79217045;8;4.12;5.055928;2.08E-06;2140
20844;46;NO;Levantado;22:30:17;20/03/2020 22:30;20/03/2020;22:30;20/03/20_22:30;81017240;8;4.12;5.359811;3.58E-06;2145
20844;46;NO;Levantado;23:00:17;20/03/2020 23:00;20/03/2020;23:00;20/03/20_23:00;82817035;7;4.1;8.480601;4.97E-06;2140
20844;46;NO;Levantado;23:30:17;20/03/2020 23:30;20/03/2020;23:30;20/03/20_23:30;84617240;7;4.1;5.330263;3.86E-06;2135
20844;46;NO;Levantado;0:00:17;21/03/2020 0:00;21/03/2020;0:00;21/03/20_00:00;17035;10;4.1;13.298318;4.61E-06;2135
20844;46;NO;Levantado;0:30:17;21/03/2020 0:30;21/03/2020;0:30;21/03/20_00:30;1817235;7;4.1;10.947167;4.39E-06;2135
20844;76;NO;A_VHF;19:00:25;25/03/2020 19:00;25/03/2020;19:00;25/03/20_19:00;68425310;8;4.22;5.849804;4.91E-06;9999999
20844;76;NO;A_VHF;19:30:25;25/03/2020 19:30;25/03/2020;19:30;25/03/20_19:30;70225520;8;4.22;15.09442;2.21E-06;3415
20844;76;NO;A_VHF;20:00:25;25/03/2020 20:00;25/03/2020;20:00;25/03/20_20:00;72025305;8;4.22;11.578622;5.52E-06;3420
20844;76;NO;A_VHF;20:30:25;25/03/2020 20:30;25/03/2020;20:30;25/03/20_20:30;73825520;8;4.22;6.197164;4.55E-06;3415
20844;76;NO;A_VHF;21:00:25;25/03/2020 21:00;25/03/2020;21:00;25/03/20_21:00;75625325;8;4.2;7.892109;5.76E-06;3420
20844;76;NO;A_VHF;21:30:25;25/03/2020 21:30;25/03/2020;21:30;25/03/20_21:30;77425540;8;4.2;8.307428;2.10E-06;3435
20844;76;NO;A_VHF;22:00:25;25/03/2020 22:00;25/03/2020;22:00;25/03/20_22:00;79225325;8;4.2;6.618926;3.29E-06;3440
20844;76;NO;A_VHF;22:30:25;25/03/2020 22:30;25/03/2020;22:30;25/03/20_22:30;81025530;8;4.2;9.850754;3.94E-06;3430
20844;76;NO;A_VHF;23:00:25;25/03/2020 23:00;25/03/2020;23:00;25/03/20_23:00;82825350;8;4.2;7.45082;4.35E-06;3435
20844;76;NO;A_VHF;23:30:25;25/03/2020 23:30;25/03/2020;23:30;25/03/20_23:30;84625565;9;4.2;3.368618;6.17E-06;3460
20844;76;NO;A_VHF;0:00:25;26/03/2020 0:00;26/03/2020;0:00;26/03/20_00:00;25370;9;4.18;8.571621;3.92E-06;3480
20844;76;NO;A_VHF;0:30:25;26/03/2020 0:30;26/03/2020;0:30;26/03/20_00:30;1825560;8;4.2;8.59265;3.00E-06;3475
20844;76;NO;A_VHF;1:00:25;26/03/2020 1:00;26/03/2020;1:00;26/03/20_01:00;3625365;9;4.18;13.158752;5.26E-06;3460
20844;76;NO;A_VHF;1:30:25;26/03/2020 1:30;26/03/2020;1:30;26/03/20_01:30;5425580;7;4.2;13.473527;4.27E-06;3465
20844;76;NO;A_VHF;2:00:25;26/03/2020 2:00;26/03/2020;2:00;26/03/20_02:00;7225385;9;4.18;2.787538;5.76E-06;3485
20844;76;NO;A_VHF;2:30:25;26/03/2020 2:30;26/03/2020;2:30;26/03/20_02:30;9025605;7;4.18;5.690342;5.07E-06;3505
20844;76;NO;A_VHF;3:00:25;26/03/2020 3:00;26/03/2020;3:00;26/03/20_03:00;10825395;6;4.18;19.232099;1.53E-06;3510
20844;76;NO;A_VHF;3:30:25;26/03/2020 3:30;26/03/2020;3:30;26/03/20_03:30;12625630;7;4.18;9.005922;1.97E-06;3515
20844;76;NO;A_VHF;4:00:25;26/03/2020 4:00;26/03/2020;4:00;26/03/20_04:00;14425425;7;4.18;10.743222;7.22E-06;3530
20844;76;NO;A_VHF;4:30:25;26/03/2020 4:30;26/03/2020;4:30;26/03/20_04:30;16225620;7;4.18;8.792801;3.70E-06;3530
20844;76;NO;A_VHF;5:00:25;26/03/2020 5:00;26/03/2020;5:00;26/03/20_05:00;18025420;7;4.16;15.611495;3.36E-06;3520
20844;76;NO;A_VHF;5:30:25;26/03/2020 5:30;26/03/2020;5:30;26/03/20_05:30;19825640;7;4.16;10.233908;1.90E-06;3525
20844;76;NO;A_VHF;6:00:25;26/03/2020 6:00;26/03/2020;6:00;26/03/20_06:00;21625475;7;4.16;14.298618;3.20E-06;3560
20844;76;NO;A_VHF;6:30:25;26/03/2020 6:30;26/03/2020;6:30;26/03/20_06:30;23425740;5;4.16;71.950546;2.46E-06;3625
